Município;2019
Açailândia (MA);112445
Afonso Cunha (MA);6524
Água Doce do Maranhão (MA);12571
Alcântara (MA);22097
Aldeias Altas (MA);26532
Altamira do Maranhão (MA);8128
Alto Alegre do Maranhão (MA);27053
Alto Alegre do Pindaré (MA);31919
Alto Parnaíba (MA);11190
Amapá do Maranhão (MA);6962
Amarante do Maranhão (MA);41435
Anajatuba (MA);26803
Anapurus (MA);15732
Apicum-Açu (MA);17239
Araguanã (MA);15426
Araioses (MA);46440
Arame (MA);32701
Arari (MA);29848
Axixá (MA);12130
Bacabal (MA);104949
Bacabeira (MA);17055
Bacuri (MA);18582
Bacurituba (MA);5644
Balsas (MA);94887
Barão de Grajaú (MA);18820
Barra do Corda (MA);88212
Barreirinhas (MA);62528
Belágua (MA);7469
Bela Vista do Maranhão (MA);11209
Benedito Leite (MA);5632
Bequimão (MA);21280
Bernardo do Mearim (MA);6043
Boa Vista do Gurupi (MA);9287
Bom Jardim (MA);41630
Bom Jesus das Selvas (MA);34028
Bom Lugar (MA);16294
Brejo (MA);36397
Brejo de Areia (MA);9188
Buriti (MA);28678
Buriti Bravo (MA);23884
Buriticupu (MA);72358
Buritirana (MA);15430
Cachoeira Grande (MA);9431
Cajapió (MA);11177
Cajari (MA);19379
Campestre do Maranhão (MA);14374
Cândido Mendes (MA);20178
Cantanhede (MA);21995
Capinzal do Norte (MA);10934
Carolina (MA);24322
Carutapera (MA);23807
Caxias (MA);164880
Cedral (MA);10675
Central do Maranhão (MA);8673
Centro do Guilherme (MA);13458
Centro Novo do Maranhão (MA);21622
Chapadinha (MA);79675
Cidelândia (MA);14697
Codó (MA);122859
Coelho Neto (MA);49435
Colinas (MA);41178
Conceição do Lago-Açu (MA);16237
Coroatá (MA);65296
Cururupu (MA);32695
Davinópolis (MA);12908
Dom Pedro (MA);23350
Duque Bacelar (MA);11349
Esperantinópolis (MA);17241
Estreito (MA);41946
Feira Nova do Maranhão (MA);8504
Fernando Falcão (MA);10360
Formosa da Serra Negra (MA);19089
Fortaleza dos Nogueiras (MA);12631
Fortuna (MA);15552
Godofredo Viana (MA);11819
Gonçalves Dias (MA);17934
Governador Archer (MA);10840
Governador Edison Lobão (MA);18296
Governador Eugênio Barros (MA);16828
Governador Luiz Rocha (MA);7807
Governador Newton Bello (MA);10180
Governador Nunes Freire (MA);25577
Graça Aranha (MA);6262
Grajaú (MA);69527
Guimarães (MA);12030
Humberto de Campos (MA);28717
Icatu (MA);27113
Igarapé do Meio (MA);14177
Igarapé Grande (MA);11320
Imperatriz (MA);258682
Itaipava do Grajaú (MA);16057
Itapecuru Mirim (MA);68203
Itinga do Maranhão (MA);26000
Jatobá (MA);10153
Jenipapo dos Vieiras (MA);16515
João Lisboa (MA);23632
Joselândia (MA);16168
Junco do Maranhão (MA);3432
Lago da Pedra (MA);50266
Lago do Junco (MA);10840
Lago Verde (MA);16257
Lagoa do Mato (MA);11250
Lago dos Rodrigues (MA);8873
Lagoa Grande do Maranhão (MA);11394
Lajeado Novo (MA);7550
Lima Campos (MA);11893
Loreto (MA);12157
Luís Domingues (MA);6951
Magalhães de Almeida (MA);19826
Maracaçumé (MA);21395
Marajá do Sena (MA);7792
Maranhãozinho (MA);16265
Mata Roma (MA);16829
Matinha (MA);23370
Matões (MA);33782
Matões do Norte (MA);16745
Milagres do Maranhão (MA);8464
Mirador (MA);21015
Miranda do Norte (MA);28381
Mirinzal (MA);14962
Monção (MA);33434
Montes Altos (MA);9160
Morros (MA);19433
Nina Rodrigues (MA);14454
Nova Colinas (MA);5384
Nova Iorque (MA);4683
Nova Olinda do Maranhão (MA);20928
Olho d'Água das Cunhãs (MA);19505
Olinda Nova do Maranhão (MA);14701
Paço do Lumiar (MA);122197
Palmeirândia (MA);19722
Paraibano (MA);21386
Parnarama (MA);34907
Passagem Franca (MA);19019
Pastos Bons (MA);19472
Paulino Neves (MA);16035
Paulo Ramos (MA);21040
Pedreiras (MA);39229
Pedro do Rosário (MA);25144
Penalva (MA);38470
Peri Mirim (MA);14318
Peritoró (MA);23196
Pindaré-Mirim (MA);32941
Pinheiro (MA);83387
Pio XII (MA);21485
Pirapemas (MA);18625
Poção de Pedras (MA);17873
Porto Franco (MA);23885
Porto Rico do Maranhão (MA);5975
Presidente Dutra (MA);47804
Presidente Juscelino (MA);12734
Presidente Médici (MA);7015
Presidente Sarney (MA);18918
Presidente Vargas (MA);11193
Primeira Cruz (MA);15315
Raposa (MA);30761
Riachão (MA);20195
Ribamar Fiquene (MA);7791
Rosário (MA);42740
Sambaíba (MA);5671
Santa Filomena do Maranhão (MA);7773
Santa Helena (MA);42130
Santa Inês (MA);89044
Santa Luzia (MA);72667
Santa Luzia do Paruá (MA);25254
Santa Quitéria do Maranhão (MA);25642
Santa Rita (MA);37855
Santana do Maranhão (MA);13386
Santo Amaro do Maranhão (MA);15846
Santo Antônio dos Lopes (MA);14528
São Benedito do Rio Preto (MA);18663
São Bento (MA);45211
São Bernardo (MA);28507
São Domingos do Azeitão (MA);7392
São Domingos do Maranhão (MA);34376
São Félix de Balsas (MA);4585
São Francisco do Brejão (MA);11798
São Francisco do Maranhão (MA);12210
São João Batista (MA);20665
São João do Carú (MA);15808
São João do Paraíso (MA);11177
São João do Soter (MA);18543
São João dos Patos (MA);25929
São José de Ribamar (MA);177687
São José dos Basílios (MA);7641
São Luís (MA);1101884
São Luís Gonzaga do Maranhão (MA);18856
São Mateus do Maranhão (MA);41529
São Pedro da Água Branca (MA);12690
São Pedro dos Crentes (MA);4668
São Raimundo das Mangabeiras (MA);18868
São Raimundo do Doca Bezerra (MA);5237
São Roberto (MA);6719
São Vicente Ferrer (MA);22247
Satubinha (MA);13914
Senador Alexandre Costa (MA);11141
Senador La Rocque (MA);14293
Serrano do Maranhão (MA);10253
Sítio Novo (MA);18081
Sucupira do Norte (MA);10636
Sucupira do Riachão (MA);5660
Tasso Fragoso (MA);8521
Timbiras (MA);29124
Timon (MA);169107
Trizidela do Vale (MA);21998
Tufilândia (MA);5840
Tuntum (MA);41832
Turiaçu (MA);35604
Turilândia (MA);25619
Tutóia (MA);58860
Urbano Santos (MA);33122
Vargem Grande (MA);56510
Viana (MA);52441
Vila Nova dos Martírios (MA);13392
Vitória do Mearim (MA);32764
Vitorino Freire (MA);31523
Zé Doca (MA);51714
