Município;2001;2002;2003;2004;2005;2006;2008;2009;2011;2012;2013;2014;2015;2016;2017;2018;2019
Açailândia (MA);91250;93455;95838;100841;103609;106357;100017;101130;105255;106422;107790;108765;109685;110543;111339;111757;112445
Afonso Cunha (MA);4696;4701;4711;4731;4743;4754;5834;5948;6000;6090;6197;6277;6351;6421;6486;6469;6524
Água Doce do Maranhão (MA);9718;9738;9754;9788;9807;9826;12213;12460;11726;11865;12028;12146;12257;12360;12457;12488;12571
Alcântara (MA);21425;21650;21816;22165;22359;22550;21969;22020;21564;21605;21644;21652;21659;21667;21673;22083;22097
Aldeias Altas (MA);18639;18681;18614;18471;18393;18315;22328;22667;24346;24726;25177;25509;25823;26115;26387;26302;26532
Altamira do Maranhão (MA);10975;6165;6269;6488;6609;6730;7607;7771;11225;11381;11564;11699;11616;10210;8070;8066;8128
Alto Alegre do Maranhão (MA);20729;21289;21812;22910;23518;24121;22676;22914;24969;25326;25748;26056;26348;26619;26872;26839;27053
Alto Alegre do Pindaré (MA);31123;31748;32477;34007;34855;35695;32955;33211;31125;31190;31253;31271;31287;31303;31312;31894;31919
Alto Parnaíba (MA);10157;10140;10124;10091;10073;10054;10606;10640;10812;10856;10904;10931;10956;10979;11001;11168;11190
Amapá do Maranhão (MA);5627;5771;5929;6261;6445;6627;6361;6451;6508;6583;6669;6731;6789;6844;6895;6918;6962
Amarante do Maranhão (MA);32126;33015;33815;35494;36423;37345;36850;37388;38451;38953;39544;39974;40378;40756;41106;41136;41435
Anajatuba (MA);23312;21555;21861;22504;22860;23214;24695;25063;25629;25955;26339;26618;26880;27125;27352;26614;26803
Anapurus (MA);10260;10287;10290;10296;10299;10303;12990;13257;14220;14492;14815;15057;15286;15499;15696;15566;15732
Apicum-Açu (MA);11429;11662;11923;12471;12775;13076;13641;13890;15256;15542;17474;17712;17948;18169;18374;17063;17239
Araguanã (MA);9050;8992;8932;8804;8734;8664;10221;10325;11508;14407;14658;14843;15018;15182;15332;15297;15426
Araioses (MA);34982;34993;35034;35118;35165;35212;38800;39166;43089;43653;44317;44800;45255;45680;46074;46103;46440
Arame (MA);29240;28985;28586;27750;27287;26827;27967;27750;31835;31729;31867;31944;32015;32083;32145;32637;32701
Arari (MA);26547;26690;26840;27156;27331;27504;28585;28787;28651;28809;28986;29096;29200;29297;29388;29764;29848
Axixá (MA);10200;10307;10384;10544;10633;10721;14743;15203;11505;11599;11706;11780;11850;11915;11975;12076;12130
Bacabal (MA);92567;93263;93932;95335;96112;96883;97946;98489;100615;101195;101851;102265;102656;103020;103359;104633;104949
Bacabeira (MA);10643;10766;10882;11126;11261;11395;15115;15574;15264;15591;15982;16276;16553;16812;17053;16855;17055
Bacuri (MA);15774;15899;16070;16429;16627;16824;16500;16585;16687;17437;17164;17280;17335;17388;17435;18508;18582
Bacurituba (MA);4711;4792;4848;4966;5031;5096;5597;5687;5341;5387;5440;5477;5511;5544;5574;5617;5644
Balsas (MA);62427;64059;65867;69662;71763;73848;81497;83617;85322;87057;89126;90679;92144;93511;94779;93826;94887
Barão de Grajaú (MA);15529;15738;15919;16298;16507;16716;17069;17231;17681;17862;18074;18223;18365;18496;18619;18714;18820
